Name,UserID,Area_Of_Expertise_1,Area_Of_Expertise_2,Area_Of_Expertise_3,Area_Of_Expertise_4,Area_Of_Expertise_5,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Eetu Mäkelä,-J16RgQAAAAJ,Computational Humanities,Computational Social Science,Digital Humanities,Complex Data,Artificial Intelligence,,,,,,,,,,,,,,21,68,124,133,170,182,129,133,126,121
Sebastian Rahtz,Uzo0ECAAAAAJ,text encoding,archaeological computing,digital humanities,,,10,12,15,23,36,43,34,47,67,55,80,96,120,129,128,95,140,123,142,137,152,141,136
Benoît Habert,tDnzY3IAAAAJ,Information Architecture,Natural Language Processing,Corpus Linguistics,Digital Humanities,,,,,8,8,18,22,39,51,118,101,146,113,169,131,163,149,146,112,118,114,108,115
JOSE LUIS SIERRA RODRIGUEZ,UPeRr9wAAAAJ,Language-driven Development,Attribute Grammars,Computer Language Implementation Tools,eLearning,Digital Humanities,,,,,,,,,,8,8,11,8,27,38,47,142,113,189,163,193,254,208
Sara Tonelli,7b95vjEAAAAJ,Natural Language Processing,Digital Humanities,Artificial Intelligence,,,,,,,,,,,,,,,,,,,8,16,44,44,40,109,124
Tim Hitchcock,XudWSHsAAAAJ,history,digital humanities,,,,,,,,,,,9,26,28,40,32,43,48,50,65,79,50,77,83,76,112,128
Frans Wiering,TN3yLrkAAAAJ,music information retrieval,computational musicology,digital humanities,interaction design,,,,,,,,,,12,8,12,14,11,34,42,98,110,100,132,145,167,129,149
Gerhard Heyer,Q1yST2AAAAAJ,Text Mining,NLP,Digital Humanities,,,7,9,4,10,10,6,6,8,6,11,8,22,34,48,42,34,49,55,59,83,118,100,121
Paul Mulholland,xhVoIDYAAAAJ,Human Computer Interaction,Technology enhanced learning,Digital cultural heritage,Digital Humanities,Music Computing,,,,,,,18,23,19,24,25,45,44,46,69,81,56,66,73,84,100,117,140
Peter Robinson,FzphlAUAAAAJ,textual scholarship,digital humanities,phylogenetics,Chaucer,,,,,9,13,22,40,19,39,24,35,39,46,81,83,77,87,70,139,88,113,145,141
Christian Chiarcos,IYbsrxUAAAAJ,Natural Language Processing,Computational Linguistics,Linked Data,Digital Humanities,XML and post-XML technologies,,,,,,,,,,,,,,,,7,31,73,37,65,85,154,150
Scott B. Weingart,c5t_w1cAAAAJ,history of science,digital humanities,digital history,cultural analytics,digital scholarship,,,,,,,,,,,,,,,,,,,18,21,36,39,68
Susan Schreibman,aZcupcsAAAAJ,Digital Humanities,Irish poetic modernism,Digital Archives,Thomas MacGreevy,,,,,,,,,,,,,,,,14,14,36,43,67,77,104,143,145
Seamus Ross,n1R2NMIAAAAJ,Digital Humanities,Digital Preservation/Curation,Digital Archaeology,Archives,Cultural Heritage Informatics,,,,,,,8,15,18,8,20,14,27,35,51,68,121,115,128,156,162,190,168
